Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);Cache (KiB);Cache (KiB);Cache (KiB);Memory Controller;Features;Features;Features
Architecture;Family;Code Name;Model Group;Speed (MHz);Socket;Process (nm);Cores;FSB/HT(MHz);L1;L2;L3;Memory Controller;SIMD;Speed/Power;Other
K10;Sempron;Sparta;;2700;Socket AM2+;65;1;1600;64+64;512;;;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Phenom II;Thuban;1100T, 1090T, 1075T, 1055T, 1045T;2600-3300;Socket AM2+ Socket AM3;45;6/6;1800, 2000;64+64;512;6144;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Phenom II;Zosma;840T, 960T, 970(E0 stepping);3000-3400;Socket AM2+ Socket AM3;45;4/6;1800, 2000;64+64;512;6144;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Phenom II;Deneb;980, 975, 970, 965, 955, 945, 940, 925, 920, 910e, 905e, 830, 820, 810, 805;2500-3700;Socket AM2+ Socket AM3;45;4/4;1800, 2000;64+64;512;6144 (805-820 only 4096);DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Phenom II;Heka;740, 720, 705e;2500–2800;Socket AM2+ Socket AM3;45;3/4;2000;64+64;512;6144;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Phenom II;Callisto;570, 565, 560, 555, 550, 545;3000-3400;Socket AM2+ Socket AM3;45;2/4;2000;64+64;512;6144;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Athlon II;Propus;;2200–2800;Socket AM2+ Socket AM3;45;4;2000;64+64;512;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Athlon II;Rana;;2200–3100;Socket AM2+ Socket AM3;45;3;2000;64+64;512;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Athlon II;Regor;;1600-3600;Socket AM2+ Socket AM3;45;2;2000;64+64;512, 1024;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;Cool'n'Quiet;AMD64, NX bit, AMD-V
K10.5;Sempron;Sargas;130;2600;Socket AM2+ Socket AM3;45;1;2000;64+64;512;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
K10.5;Sempron;Sargas;140;2700;Socket AM2+ Socket AM3;45;1;2000;64+64;1024;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
K10.5;Sempron;Sargas;145;2800;Socket AM2+ Socket AM3;45;1;2000;64+64;1024;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
K10.5;Sempron;Sargas;150;2900;Socket AM2+ Socket AM3;45;1;2000;64+64;1024;;DDR2 DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
K10.5;Turion II;Caspian;;2000-2700;Socket S1G3;45;2;1800, 1600;64+64;512, 1024;;DDR2;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
K10.5;Llano;Llano;E2-3200, A4-3300, A4-3420, A6-3500, A6-3600, A6-3620, A6-3650, A6-3670K, A8-3800, A8-3820, A8-3850, A8-3870K;2100-3000;Socket FM1;32;2/3/4;;64+64;1024, 3072, 4096;;DDR3;MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!;PowerNow!;AMD64, NX bit, AMD-V
Bobcat;Bobcat;Desna, Ontario, Zacate;C-series, E-series, G-series, Z-series;1000 - 1750;FT1;40;1/2;;32 + 32;512 KB (per core);;DDR3;MMX, SSE, SSE2, SSE3, SSE3s, SSE4a;PowerNow!;AMD64, NX bit, AMD-V
Bulldozer;Bulldozer;Zambezi;FX-4100 series (4100, 4120, 4130, 4150, 4170);3600-4200 (3700-4300 boost);Socket AM3+ Socket AM3;32;4;2600;2 x 16 KB (data) + 64 KB (instruction)(per module);4x2;8;DDR3;MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX;Cool'n'Quiet, PowerNow!, Turbo Core 2.0;AMD64, NX bit, AMD-V, IOMMU, AES, CLMUL, XOP, FMA4, CVT16/F16C, ABM, ECC
Bulldozer;Bulldozer;Zambezi;FX-6100 series (6100, 6120, 6130, 6200);3300-3800 (3600-4200 boost);Socket AM3+ Socket AM3;32;6;2600;2 x 16 KB (data) + 64 KB (instruction)(per module);4x2;8;DDR3;MMX, SSE, SSE2, SSE3, SSE3s, SSE4a, SSE4.1, SSE4.2, AVX;Cool'n'Quiet, PowerNow!, Turbo Core 2.0;AMD64, NX bit, AMD-V, IOMMU, AES, CLMUL, XOP, FMA4, CVT16/F16C, ABM, ECC
