 Graphics ; Launch ; Market; Processor; Code name; Device ID; Clock rate; Clock rate; Core config1; API support; API support; API support; API support; eDRAM  (MiB);  bandwidth  (GB/s)
Graphics;Launch;Market;Processor;Code name;Device ID;Min  (MHz);Max  (MHz);Core config1;Direct3D;OpenGL;OpenCL;Vulkan;eDRAM  (MiB);bandwidth  (GB/s)
Iris Pro Graphics P580;2016;Mobile  Workstation;193D;Skylake  (Gen9);1050;576:72:9  (GT4);Pentium G4560T  Pentium G4560;38.4;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;Core i3-7101TE  Core i3-7101E;1100
Iris Pro Graphics P580;2016;HD Graphics 615;Mobile;Skylake  (Gen9);Celeron 3965Y  Pentium 4410Y  Pentium 4415Y;576:72:9  (GT4);591E;300;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;850;192:24:3  (GT2)
Iris Pro Graphics P580;2016;Workstation;29.8;Skylake  (Gen9);Core m3-7Y30  Core m3-7Y32;576:72:9  (GT4);900;Core i5-7Y54  Core i5-7Y57;12  FL12_1;4.5Windows  4.1macOS  4.5Linux  ES3.2Linux;2.0Windows  1.2macOS  2.0Linux;1.1Windows  1.1Linux;950;Core i7-7Y75
1050;HD Graphics 620;Core i3-7020U  Core i3-7100U  Core i3-7130U  Core i5-7200U;5916;1000;34.1;Core i7-7500U;1050;Core i5-7300U;1100;Core i7-7600U;1150;UHD Graphics 620;Core i3-8130U;5917
UHD Graphics 600;2017;Mobile;1000;Gemini Lake  (Gen9LP);3185;200;38.4;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;38.4
UHD Graphics 600;2017;Core i5-8250U  Core i5-8350U;1100;Gemini Lake  (Gen9LP);3185;Core i7-8550U  Core i7-8650U;1150;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;38.4
UHD Graphics 600;2017;HD Graphics 630;Desktop;Gemini Lake  (Gen9LP);3185;Core i5-7400T  Core i5-7400;5912;96:12:2;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;38.4
350;2017;1000;38.4;Gemini Lake  (Gen9LP);Pentium G4600T;1050;Pentium G4600  Pentium G4620  Core i3-7100T  Core i3-7100  Core i3-7300T  Core i5-7500T  Core i5-7500  Core i5-7600T;1100;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
Core i3-7300  Core i3-7320  Core i3-7350K  Core i5-7600  Core i5-7600K  Core i7-7700T  Core i7-7700  Core i7-7700K;2017;1150;3184;Gemini Lake  (Gen9LP);Mobile;144:18:3;38.4;Core i3-7100E  Core i3-7100H  Core i3-7102E;12;4.5Windows  4.5Linux  ES3.2Linux;1.2Windows  2.0Linux;1.1Windows  1.1Linux;-;
591B;950;Core i5-7300HQ  Core i5-7440EQ  Core i5-7440HQ  Core i5-7442EQ  Core i7-7820EQ;1000;Core i7-7700HQ  Core i7-7820HK  Core i7-7820HQ  Core i7-7920HQ;1100;Core i5-8305G;?;1000;Core i7-8705G  Core i7-8706G  Core i7-8709G  Core i7-8809G;1100;HD Graphics P630;Mobile  Workstation;Xeon E3-1501L v6  Xeon E3-1501M v6  Xeon E3-1505L v6;591D
